race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov
6,9,3,Ojin,0.2165,0.0669,0.7894736842105263,20/1,94.6,"{'pos': [('last race was maiden', 0.08665179660523661), ('no data: finish placement (last race)', 0.07240082173302563), ('no data: won last race', 0.07240082173302563)], 'neg': [('last race field size', -0.14293061812252394), ('closeness to winner (last race)', -0.10761228949328223), ('avg finish placement (last 3)', -0.08354342585987108)]}",False,0.7263157894736842
6,10,5,Honorthe Bull,0.2157,0.0712,0.8526315789473684,30/1,96.0,"{'pos': [('closeness to winner (last race)', 0.24251381804873412), ('last race was maiden', 0.08665179660523661), ('no data: finish placement (last race)', 0.07240082173302563)], 'neg': [('jockey win% on surface', -0.2093576331717474), ('finish placement (last race)', -0.17961823954652337), ('career ITM%', -0.1775736340422811)]}",False,0.8210526315789474
7,1,7,Life Is Daily,0.5836,0.217,0.8736842105263158,8/5,127.2,"{'pos': [('jockey win% on surface', 0.3306677837631551), ('career win% on surface', 0.18829496127440842), ('finish placement (last race)', 0.12089688991981237)], 'neg': [('career win%', -0.2818116345412417), ('blinkers change', -0.15253594697835746), ('post position', -0.0636673950571527)]}",False,0.8736842105263158
7,2,2,This Juice B Loose,0.45089999999999997,0.1538,0.8631578947368421,10/1,122.5,"{'pos': [('finish placement (last race)', 0.12089688991981237), ('blinkers change', 0.09152156818701443), ('speed figure last race', 0.07053613779204754)], 'neg': [('career ITM%', -0.10580855073447169), ('closeness to winner (last race)', -0.06564864746696224), ('jockey win% on surface', -0.05413165617445316)]}",False,0.8526315789473684
7,3,6,Tricks Rfor Juba,0.43920000000000003,0.1467,0.8210526315789474,9/5,121.4,"{'pos': [('finish placement (last race)', 0.25906476475851503), ('career win% on surface', 0.14351378670573495), ('career ITM%', 0.12475603583141692)], 'neg': [('career win%', -0.2143424859972885), ('won last race', -0.16576652076145892), ('closeness to winner (last race)', -0.09139321264237812)]}",False,0.8105263157894737
7,4,8,Noble Ruling,0.3366,0.1099,0.8210526315789474,10/1,115.0,"{'pos': [('blinkers change', 0.09152156818701443), ('won last race', 0.055255506920486315)], 'neg': [('post position', -0.08913435971868805), ('last race field size', -0.059554426353287226), ('jockey win% on surface', -0.05413165617445316)]}",False,0.8105263157894737
7,5,3,Mr.Dumbledore,0.33089999999999997,0.1042,0.8210526315789474,6/1,118.4,"{'pos': [('finish placement (last race)', 0.25906476475851503), ('speed figure last race', 0.09266858808155576), ('career win%', 0.06957068391009638)], 'neg': [('won last race', -0.16576652076145892), ('blinkers change', -0.15253594697835746), ('closeness to winner (last race)', -0.09139321264237812)]}",False,0.8105263157894737
7,6,4,WV Lad,0.30329999999999996,0.0982,0.8947368421052632,12/1,113.1,"{'pos': [('blinkers change', 0.09152156818701443), ('won last race', 0.055255506920486315), ('closeness to winner (last race)', 0.05277635804503676)], 'neg': [('finish placement (last race)', -0.2936067345962956), ('last race field size', -0.059554426353287226), ('avg finish placement (last 3)', -0.05496278228429077)]}",False,0.8842105263157894
7,7,5,Long Legged Luis,0.2817,0.0828,0.5894736842105263,20/1,104.2,"{'pos': [('closeness to winner (last race)', 0.1969459429951665), ('jockey home = GP', 0.19602376835102825), ('career win%', 0.17803990782236762)], 'neg': [('speed figure last race', -0.23878704905233364), ('career ITM%', -0.15906172662769663), ('no data: won last race', -0.15837679754099357)]}",True,0.4421052631578947
7,8,1,Direct Appeal,0.27380000000000004,0.0874,0.8421052631578947,12/1,115.5,"{'pos': [('career win%', 0.18074113334088587), ('career ITM%', 0.10885592143059925), ('blinkers change', 0.09152156818701443)], 'neg': [('finish placement (last race)', -0.2936067345962956), ('starts at this track', -0.13393854311405434), ('career starts', -0.12149257399442459)]}",False,0.8315789473684211
8,1,10,Solomons Gold,0.4437,0.1573,0.9263157894736842,10/1,116.1,"{'pos': [('career ITM%', 0.27627216999751564), ('career win% on surface', 0.18845145960824977), ('jockey win% on surface', 0.18624259853392344)], 'neg': [('career win%', -0.24792582806288938), ('blinkers change', -0.17749637466572496), ('last race field size', -0.11549949353364794)]}",False,0.9157894736842105
8,2,8,Absolute Grit,0.3476,0.1192,0.8736842105263158,20/1,109.1,"{'pos': [('career ITM%', 0.30228761639202295), ('career win% on surface', 0.12288709350757002), ('jockey win% on surface', 0.09370296043861684)], 'neg': [('career win%', -0.1993037541724067), ('career starts', -0.09203982676535843), ('closeness to winner (last race)', -0.06225504318435778)]}",False,0.8736842105263158
8,3,7,Jester's Song,0.3332,0.1186,0.8631578947368421,12/1,111.9,"{'pos': [('finish placement (last race)', 0.15072858950247026), ('career ITM%', 0.13347636869310925), ('last race field size', 0.12271821187950094)], 'neg': [('jockey win% on surface', -0.07072277174547839)]}",False,0.8631578947368421
8,4,11,Oleg,0.3173,0.1043,0.8526315789473684,8/1,114.8,"{'pos': [('finish placement (last race)', 0.15072858950247026), ('career win%', 0.09282881438721038), ('closeness to winner (last race)', 0.09118257747951328)], 'neg': [('post position', -0.1273347930052729), ('last race field size', -0.11549949353364794), ('career win% on surface', -0.08650003736214372)]}",False,0.8421052631578947
8,5,6,Flag Officer,0.2827,0.0928,0.8842105263157894,12/1,102.7,"{'pos': [('finish placement (last race)', 0.28889646434117294), ('career win%', 0.11727990571224081), ('trouble in last trip', 0.07233988144280076)], 'neg': [('last race field size', -0.11549949353364794), ('trainer win% on surface', -0.08269851682652316), ('speed figure last race', -0.069568339529027)]}",False,0.8736842105263158
8,6,2,Outdoor Cat,0.26739999999999997,0.0858,0.6421052631578947,3/5,123.0,"{'pos': [('pace type last race    MISSING = ', 0.12950061195035834), ('career starts', 0.1220185192463214), ('post position', 0.1018678369533342)], 'neg': [('purse change vs last', -0.1788674510875082), ('blinkers change', -0.17749637466572496), ('no data: won last race', -0.16454732212051282)]}",True,0.4631578947368421
8,7,1,It's Sizzling Time,0.2528,0.0808,0.8736842105263158,6/1,115.1,"{'pos': [('career win%', 0.1543112532349414), ('post position', 0.12733479418698226), ('career starts', 0.08152099400679605)], 'neg': [('finish placement (last race)', -0.26377503501363775), ('career win% on surface', -0.12730767801777515), ('career ITM%', -0.08125417413814404)]}",False,0.8631578947368421
8,8,3,Excitable Boy,0.2279,0.074,0.9052631578947369,12/1,114.3,"{'pos': [('trainer win% on surface', 0.16670686305417165), ('trainer win% at track', 0.1138928026015806), ('career starts', 0.1104477970761325)], 'neg': [('blinkers change', -0.17749637466572496), ('finish placement (last race)', -0.1256071601749351), ('speed figure last race', -0.10763616040858963)]}",False,0.8947368421052632
8,9,5,Emirates Honor,0.2162,0.0688,0.8526315789473684,10/1,108.6,"{'pos': [('career starts', 0.07573563326530475), ('blinkers change', 0.06656114049964693)], 'neg': [('finish placement (last race)', -0.1256071601749351), ('no data: trainer win% off layoff', -0.1064790860857261), ('career win%', -0.07998004287984098)]}",False,0.8526315789473684
8,10,9,Smooth Rico,0.1627,0.0526,0.8421052631578947,20/1,100.1,"{'pos': [('finish placement (last race)', 0.15072858950247026), ('career win%', 0.1344476961807295), ('blinkers change', 0.06656114049964693)], 'neg': [('career ITM%', -0.3217523852868331), ('career win% on surface', -0.13225168311347263), ('starts at this track', -0.10900626326824242)]}",False,0.8315789473684211
8,11,4,Cowboy At Heart,0.1485,0.0458,0.8315789473684211,30/1,103.4,"{'pos': [('wins at this track', 0.159789879788956), ('last race field size', 0.12271821187950094), ('speed figure last race', 0.10217950484711814)], 'neg': [('finish placement (last race)', -0.26377503501363775), ('starts at this track', -0.24932282659293695), ('career starts', -0.20774705475027622)]}",False,0.8315789473684211
