race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
7,6,2,Geneand Jude,0.33240000000000003,0.1036,0.9368421052631579,,,"{'pos': [('trainer home = GP', 0.1463877229875875), ('shipping in today', 0.11166115123581864), ('career win% on surface', 0.07438616917277538)], 'neg': [('finish placement (last race)', -0.3108777206432909), ('trainer starts at other tracks', -0.14003472795530186), ('career win%', -0.10215270232828327)]}",3
7,7,8,Landing Craft,0.3134,0.0964,0.5263157894736842,,,"{'pos': [('pace type last race    MISSING = ', 0.10683800485904563), ('finish placement (last race)', 0.1036259083852369), ('career ITM%', 0.06904368231112955)], 'neg': [('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306), ('speed figure last race', -0.08880647221759028)]}",2
7,8,3,Gallode Fuego,0.242,0.0745,0.9052631578947369,,,"{'pos': [('blinkers change', 0.2135503257697004), ('finish placement (last race)', 0.1036259083852369), ('trainer win% (1yr)', 0.0690296464398251)], 'neg': [('last race field size', -0.2977721262749732), ('jockey win% on surface', -0.0940623767810471), ('purse change vs last', -0.0899033456648329)]}",8
8,1,5,Highgrove,0.613,0.2282,0.5157894736842106,,,"{'pos': [('trainer win% first-time starters', 0.2155936065436565), ('trainer win% on surface', 0.2083431857414202), ('jockey win% on surface', 0.20815667153142547)], 'neg': [('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306), ('trainer win% at other tracks', -0.07814530594162655)]}",4
8,2,7,Moonlight Dash,0.5162,0.1787,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.43177460717878846), ('blinkers change', 0.2135503257697004), ('avg finish placement (last 3)', 0.07223679880881767)], 'neg': [('first-time blinkers', -0.23159251618350085), ('post position', -0.0636673950571527), ('trainer home = GP', -0.058555089195035)]}",3
8,3,1,I'm Game,0.4329,0.1481,0.5157894736842106,,,"{'pos': [('trainer home = GP', 0.175665267585105), ('finish placement (last race)', 0.15543886201380286), ('pace type last race    MISSING = ', 0.10683800485904563)], 'neg': [('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306), ('trainer win% first-time starters', -0.09097841016101302)]}",2
8,4,4,Rational Theory,0.3098,0.097,0.8842105263157894,,,"{'pos': [('finish placement (last race)', 0.15543886201380286), ('speed figure last race', 0.08947044566524921), ('pace progression last race', 0.05714209343469352)], 'neg': [('last race field size', -0.1687375413343138), ('closer last race', -0.07853428447221034), ('trainer win% (1yr)', -0.06174057956844607)]}",5
8,5,2,True Passion,0.3085,0.0959,0.9052631578947369,,,"{'pos': [('last race field size', 0.14888606588321807), ('post position', 0.06366739853897488)], 'neg': [('finish placement (last race)', -0.12089689217602226), ('jockey win% on surface', -0.10648478203988748), ('closer last race', -0.07853428447221034)]}",1
8,6,3,Debbie Doll,0.3013,0.0946,0.8631578947368421,,,"{'pos': [], 'neg': [('jockey win% on surface', -0.08278497268588213), ('career ITM%', -0.07845559417509887), ('trainer win% on surface', -0.06962742667486665)]}",6
8,7,6,My Sweetheart,0.2601,0.0782,0.9157894736842105,,,"{'pos': [('jockey home = GP', 0.19602376835102825), ('trainer home = GP', 0.175665267585105), ('last race field size', 0.14888606588321807)], 'neg': [('finish placement (last race)', -0.5354005166921303), ('trainer starts at other tracks', -0.21859431516845038), ('avg finish placement (last 3)', -0.10364409815572587)]}",8
