race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
6,2,8,Redhotchiliphilly,0.5270999999999999,0.1906,0.9052631578947369,,,"{'pos': [('finish position last race', 0.34675540706941277), ('jockey win% on surface', 0.32664431174265984), ('speed figure last race', 0.09836942220715783)], 'neg': [('won last race', -0.1314731722214262), ('career win%', -0.09519445451410313), ('avg finish (last 3)', -0.09365993715529711)]}"
6,3,5,Thelastsay,0.5082,0.176,0.8736842105263158,,,"{'pos': [('speed figure last race', 0.2085245048490434), ('finish position last race', 0.20805324697897815), ('won last race', 0.07888390333285572)], 'neg': [('wins at this track', -0.0822473127213319), ('career win% in these conditions', -0.052163472061779875)]}"
6,4,4,Golden Circles,0.42300000000000004,0.1393,0.8631578947368421,,,"{'pos': [('purse change vs last', 0.18404095056218528), ('career win%', 0.11917062806641171), ('won last race', 0.07888390333285572)], 'neg': [('career ITM%', -0.12729673109034534), ('career win% on surface', -0.08606137477265546), ('speed figure last race', -0.059395065323529575)]}"
6,5,6,Coal Country,0.38769999999999993,0.122,0.8421052631578947,,,"{'pos': [('finish position last race', 0.34675540706941277), ('avg finish (last 3)', 0.06484149497526401), ('blinkers change', 0.05770614392474449)], 'neg': [('purse change vs last', -0.14444313022280938), ('won last race', -0.1314731722214262), ('jockey win% on surface', -0.058588414246767424)]}"
6,6,2,Party Timefor Me,0.2792,0.0841,0.8210526315789474,,,"{'pos': [('won last race', 0.07888390333285572), ('beaten lengths last race', 0.07599409759022768), ('career ITM%', 0.06818969162290045)], 'neg': [('finish position last race', -0.34675541163163026), ('blinkers change', -0.17311843177423356), ('closer last race', -0.08683318793307902)]}"
6,7,1,Here'sa Quarter,0.1679,0.0478,0.8,,,"{'pos': [('post position', 0.085528391772306), ('won last race', 0.07888390333285572), ('no data: trainer win% off layoff', 0.05849311088991752)], 'neg': [('finish position last race', -0.6241597318124994), ('career ITM%', -0.17517686894830858), ('speed figure last race', -0.13314295881974156)]}"
6,8,7,Lil Knockout,0.1288,0.0376,0.8736842105263158,,,"{'pos': [('career win%', 0.3192447152705667), ('won last race', 0.07888390333285572), ('blinkers change', 0.05770614392474449)], 'neg': [('finish position last race', -0.34675541163163026), ('career win% on surface', -0.2213115049037999), ('speed figure last race', -0.13314295881974156)]}"
7,1,2,Honeyquist,0.5349999999999999,0.1914,0.9157894736842105,,,"{'pos': [('career ITM%', 0.2692018757962745), ('jockey win% on surface', 0.14475205089757975), ('trainer win% on surface', 0.12246844405571868)], 'neg': [('purse change vs last', -0.21664260899115648), ('speed figure last race', -0.14957027960775646), ('trainer win% at other tracks', -0.08721809243321277)]}"
7,2,7,Duncan Idaho,0.5283,0.1926,0.8736842105263158,,,"{'pos': [('career win% on surface', 0.38253309564961013), ('jockey win% on surface', 0.31066130571991596), ('wins at this track', 0.26535757834904555)], 'neg': [('career win%', -0.5617998063526672), ('won last race', -0.1402380503695213), ('starts at this track', -0.09519250039356689)]}"
7,3,5,The Big Lep,0.4991,0.1788,0.9052631578947369,,,"{'pos': [('jockey home = GP', 0.24091543674871532), ('finish position last race', 0.1387021611042607), ('trainer win% on surface', 0.12246844405571868)], 'neg': [('career ITM%', -0.15424037865336832), ('won last race', -0.1402380503695213), ('trainer win% at other tracks', -0.08721809243321277)]}"
7,4,3,Tico Grande,0.3063,0.095,0.8631578947368421,,,"{'pos': [('beaten lengths last race', 0.1470564263225206), ('won last race', 0.07011902518476065), ('pace progression last race', 0.06647841567215013)], 'neg': [('jockey win% on surface', -0.108945493255387), ('closer last race', -0.10805907831672057), ('speed figure last race', -0.09682653092185771)]}"
7,5,6,K.Bee,0.2651,0.079,0.8631578947368421,,,"{'pos': [('finish position last race', 0.1387021611042607), ('last race field size', 0.12828349511736553), ('starts at this track', 0.07965086741359761)], 'neg': [('blinkers change', -0.17953022554364959), ('career ITM%', -0.15424037865336832), ('won last race', -0.1402380503695213)]}"
7,6,1,Pleasenthanku,0.2595,0.0802,0.9052631578947369,,,"{'pos': [('post position', 0.09774673362211596), ('won last race', 0.07011902518476065), ('pace progression last race', 0.06647841567215013)], 'neg': [('jockey win% on surface', -0.11508901079520825), ('closer last race', -0.10805907831672057), ('speed figure last race', -0.10056060283623379)]}"
7,7,4,Moonlit Notion,0.2531,0.073,0.8315789473684211,,,"{'pos': [('purse change vs last', 0.10410825423728111), ('career win% on surface', 0.09874579757255528), ('career ITM%', 0.07985936475357214)], 'neg': [('finish position last race', -0.2774043282914781), ('blinkers change', -0.17953022554364959), ('career win%', -0.14199624893094226)]}"
7,8,8,Bold Boomer,0.23259999999999997,0.0739,0.8631578947368421,,,"{'pos': [('career win%', 0.4266781037497584), ('speed figure last race', 0.084275903299951), ('won last race', 0.07011902518476065)], 'neg': [('career win% on surface', -0.2856782009232337), ('career ITM%', -0.2095291188008797), ('jockey win% on surface', -0.1689885513932291)]}"
7,9,9,Amidships,0.121,0.0361,0.8736842105263158,,,"{'pos': [('career win%', 0.14885295695082407), ('won last race', 0.07011902518476065), ('jockey win% on surface', 0.05396713869622733)], 'neg': [('purse change vs last', -0.2668180862514311), ('finish position last race', -0.13870215907660852), ('starts at this track', -0.11267684344139384)]}"
8,1,3,Mystic Lake,0.5834999999999999,0.2087,0.8105263157894737,,,"{'pos': [('purse change vs last', 0.37321887104857765), ('career win% on surface', 0.20746564647253185), ('jockey home = GP', 0.13551493317115237)], 'neg': [('career win%', -0.27693196094447536), ('last race field size', -0.15394019549754412), ('blinkers change', -0.11541228784948904)]}"
8,2,1,Icona Mama,0.5653,0.2083,0.45263157894736844,,,"{'pos': [('purse change vs last', 0.8280094600695397), ('pace type last race    MISSING = ', 0.1602871815346445), ('jockey home = GP', 0.13551493317115237)], 'neg': [('no data: finish position last race', -0.21804853931433218), ('no data: won last race', -0.21804853931433218), ('speed figure last race', -0.11552281357944442)]}"
8,3,7,Overcome Adversity,0.4524,0.1538,0.8842105263157894,,,"{'pos': [('finish position last race', 0.3120798670468041), ('purse change vs last', 0.1974174743978223), ('jockey win% on surface', 0.14368879477861432)], 'neg': [('won last race', -0.1840624411099967), ('blinkers change', -0.11541228784948904), ('closer last race', -0.10419982551969484)]}"
8,4,5,Irish Maxima,0.3893,0.123,0.7789473684210526,,,"{'pos': [('purse change vs last', 0.7630393793612016), ('career win%', 0.13541079724678842), ('blinkers change', 0.11541228784948901)], 'neg': [('career ITM%', -0.18626054522915228), ('jockey home = GP', -0.13551493317115237), ('finish position last race', -0.10402662234893469)]}"
8,5,6,Anakarina,0.33199999999999996,0.1002,0.7894736842105263,,,"{'pos': [('purse change vs last', 0.503159040486119), ('jockey home = GP', 0.13551493317115237), ('career win%', 0.13541079724678842)], 'neg': [('finish position last race', -0.5201331299935434), ('career ITM%', -0.18626054522915228), ('avg finish (last 3)', -0.16300431581810226)]}"
8,6,8,Foie Gras,0.31930000000000003,0.1017,0.8842105263157894,,,"{'pos': [('last race field size', 0.2309102874950646), ('purse change vs last', 0.1974174743978223), ('finish position last race', 0.1733777069563695)], 'neg': [('jockey home = GP', -0.13551493317115237), ('speed figure last race', -0.12439123192018155), ('blinkers change', -0.11541228784948904)]}"
8,7,2,Professor Grace,0.18359999999999999,0.0544,0.8736842105263158,,,"{'pos': [('career ITM%', 0.1881868661307307), ('finish position last race', 0.1733777069563695), ('career win% on surface', 0.1259642673271409)], 'neg': [('purse change vs last', -1.5098483635867181), ('career win%', -0.19061901024064362), ('jockey home = GP', -0.13551493317115237)]}"
8,8,4,Serenade Me,0.17459999999999998,0.0499,0.8210526315789474,,,"{'pos': [('speed figure last race', 0.228945214195463), ('career ITM%', 0.2098267400285948), ('blinkers change', 0.11541228784948901)], 'neg': [('purse change vs last', -1.352413336174364), ('jockey home = GP', -0.13551493317115237), ('starts at this track', -0.1016277089927793)]}"
9,1,3,Solitude Dude,0.6696,0.257,0.8,,,"{'pos': [('purse change vs last', 0.5181284487616141), ('jockey home = GP', 0.16939366646394047), ('beaten lengths last race', 0.1533332243586444)], 'neg': [('speed figure last race', -0.12392447247943121), ('career win%', -0.11453842299197377), ('no data: trainer win% off layoff', -0.0731163886123969)]}"
9,2,2,Bravaro,0.5349999999999999,0.1872,0.7894736842105263,,,"{'pos': [('purse change vs last', 0.5181284487616141), ('career win%', 0.1725554062266193), ('jockey home = GP', 0.16939366646394047)], 'neg': [('finish position last race', -0.19071547582711945), ('closer last race', -0.12156646310631064), ('career win% on surface', -0.11664749539489633)]}"
9,3,1,Coronade Oro,0.47659999999999997,0.1641,0.8105263157894737,,,"{'pos': [('purse change vs last', 0.4942423897130525), ('speed figure last race', 0.08891755729677538), ('finish position last race', 0.08668885347818472)], 'neg': [('last race field size', -0.18280397977541235), ('jockey win% on surface', -0.12238360625069544), ('jockey home = GP', -0.10163619987836428)]}"
9,4,6,Sculcos Folly,0.3231,0.0961,0.4105263157894737,,,"{'pos': [('purse change vs last', 0.5754549916010833), ('career win%', 0.15450059455310108), ('pace type last race    MISSING = ', 0.137389012743981)], 'neg': [('finish position last race', -0.19071547582711945), ('no data: won last race', -0.1868987479837133), ('no data: finish position last race', -0.1868987479837133)]}"
