race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
5,7,4,Juba Jack,0.16910000000000003,0.0487,0.8842105263157894,30/1,87.0,"{'pos': [('first-time blinkers', 0.0661692903381431)], 'neg': [('finish placement (last race)', -0.31087771951518595), ('trainer win% on surface', -0.11355632403307475), ('closer last race', -0.0942411413666524)]}",False,0.8631578947368421,8.0
5,8,11,Twister City,0.16519999999999999,0.0453,0.8947368421052632,30/1,85.7,"{'pos': [('finish placement (last race)', 0.10362590951334186), ('weight (lbs)', 0.07977144085281192), ('trouble in last trip', 0.07736348432077303)], 'neg': [('purse change vs last', -0.15474788532502126), ('class rating change vs last', -0.12271770716871676), ('jockey win% on surface', -0.12151732030620364)]}",False,0.8736842105263158,6.0
6,1,6,Improbable Dream,0.47950000000000004,0.178,0.6947368421052632,15/1,95.9,"{'pos': [('jockey win% on surface', 0.3241699275889202), ('closeness to winner (last race)', 0.21676925643899697), ('finish placement (last race)', 0.09671751464330176)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5263157894736842,6.0
6,2,7,Saint Shance,0.36319999999999997,0.1155,0.9052631578947369,2/1,116.3,"{'pos': [('trainer win% on surface', 0.19965690006809406), ('jockey win% on surface', 0.1714360142008915), ('blinkers change', 0.17084026061576033)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('first-time blinkers', -0.21174172908205793), ('class rating change vs last', -0.11173155115002043)]}",False,0.8631578947368421,2.0
6,3,4,Mi Gamble,0.354,0.1178,0.8631578947368421,15/1,95.3,"{'pos': [('speed figure last race', 0.11726659489245028), ('finish placement (last race)', 0.09671751464330176), ('last race was maiden', 0.08665179660523661)], 'neg': [('last race field size', -0.14293061812252394), ('closeness to winner (last race)', -0.11276120205294159), ('jockey win% on surface', -0.07476876924001172)]}",False,0.8631578947368421,3.0
6,4,2,Gil the Trail Boss,0.3152,0.105,0.5789473684210527,10/1,94.6,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439), ('post position', 0.0891343576528069)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5263157894736842,9.0
6,5,9,Let Da Blood Talk,0.2863,0.0936,0.5789473684210527,15/1,114.2,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439), ('pace type last race    MISSING = ', 0.0854704038872365)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5263157894736842,10.0
6,6,1,Awegod,0.2849,0.0938,0.9263157894736842,8/1,101.0,"{'pos': [('blinkers change', 0.17084026061576033), ('closeness to winner (last race)', 0.13438663646749427), ('post position', 0.11460131488645496)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('weight (lbs)', -0.1645810765590587), ('class rating change vs last', -0.11640650519236934)]}",False,0.9052631578947369,5.0
6,7,8,Zaptastic,0.2829,0.094,0.9263157894736842,12/1,94.7,"{'pos': [('finish placement (last race)', 0.3730532598082873), ('career win%', 0.1503182797874482), ('speed figure last race', 0.09070765175526621)], 'neg': [('last race field size', -0.14293061812252394), ('starts at this track', -0.12628491754026064), ('career starts', -0.12380672227313605)]}",False,0.9263157894736842,1.0
6,8,10,Honorary American,0.2504,0.0817,0.6421052631578947,7/5,114.2,"{'pos': [('blinkers change', 0.17084026061576033), ('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439)], 'neg': [('first-time blinkers', -0.21174172908205793), ('last race was maiden', -0.12997769490785493), ('post position', -0.11460131507215214)]}",True,0.5157894736842106,8.0
