race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,_cc_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
5,5,3,Revision,0.3389,0.32389999999999997,0.1012,0.8736842105263158,-0.10047260283657333,0.0245820089143427,,,"{'pos': [('blinkers change', 0.15253594697835743), ('jockey win% on surface', 0.12514180248470347), ('last race field size', 0.11910885179133063)], 'neg': [('finish placement (last race)', -0.31087771951518595), ('first-time blinkers', -0.1985078710144293), ('weight (lbs)', -0.08816843614514078)]}",False,0.8736842105263158,5.0
5,6,8,Feeling Enchanted,0.1859,0.2505,0.0482,0.8421052631578947,-0.5680162819827765,0.0245820089143427,,,"{'pos': [('blinkers change', 0.15253594697835743), ('first-time blinkers', 0.0661692903381431)], 'neg': [('finish placement (last race)', -0.17270984467648326), ('jockey win% on surface', -0.10381849612906087), ('no data: closeness to winner (last race)', -0.07447692293334457)]}",False,0.8421052631578947,7.0
5,7,4,Juba Jack,0.1436,0.16110000000000002,0.0402,0.8631578947368421,-0.18929177690298604,-0.08532549353070484,,,"{'pos': [('first-time blinkers', 0.0661692903381431)], 'neg': [('finish placement (last race)', -0.31087771951518595), ('trainer win% on surface', -0.11355632403307475), ('closer last race', -0.0942411413666524)]}",False,0.8631578947368421,8.0
5,8,11,Twister City,0.1161,0.1618,0.0302,0.8736842105263158,-0.4126893672794987,-0.12253315435184975,,,"{'pos': [('finish placement (last race)', 0.10362590951334186), ('weight (lbs)', 0.07977144085281192), ('trouble in last trip', 0.07736348432077303)], 'neg': [('purse change vs last', -0.15474788532502126), ('class rating change vs last', -0.12271770716871676), ('jockey win% on surface', -0.12151732030620364)]}",False,0.8736842105263158,6.0
6,1,7,Saint Shance,0.48769999999999997,0.30989999999999995,0.1721,0.8631578947368421,0.48519388791712525,0.06511824935916743,,,"{'pos': [('blinkers change', 0.2196517636488347), ('trainer win% on surface', 0.19965690006809406), ('jockey win% on surface', 0.1714360142008915)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('first-time blinkers', -0.23820944521731519), ('class rating change vs last', -0.11173155115002043)]}",False,0.8631578947368421,2.0
6,2,4,Mi Gamble,0.3523,0.3655,0.1175,0.8631578947368421,-0.2848721842045867,0.0245820089143427,,,"{'pos': [('speed figure last race', 0.11225580742470283), ('finish placement (last race)', 0.09671751464330176), ('last race was maiden', 0.08665179660523661)], 'neg': [('last race field size', -0.15881179848340055), ('jockey win% on surface', -0.07476876924001172), ('pace type last race    MISSING = ', -0.05698026925815767)]}",False,0.8631578947368421,3.0
6,3,8,Zaptastic,0.3462,0.295,0.1158,0.9263157894736842,0.12488650546035163,-0.08532549353070507,,,"{'pos': [('finish placement (last race)', 0.3730532598082873), ('career win%', 0.1480197823048076), ('last race was maiden', 0.08665179660523661)], 'neg': [('last race field size', -0.15881179848340055), ('starts at this track', -0.12628491754026064), ('career starts', -0.12264965013465501)]}",False,0.9263157894736842,1.0
6,4,6,Improbable Dream,0.3333,0.4366,0.1152,0.5263157894736842,-0.6572065339020582,0.006000606865336433,,,"{'pos': [('jockey win% on surface', 0.3241699275889202), ('finish placement (last race)', 0.09671751464330176), ('career ITM%', 0.09012116565551072)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: won last race', -0.10860123259953845), ('no data: finish placement (last race)', -0.10860123259953845)]}",True,0.5263157894736842,6.0
6,5,2,Gil the Trail Boss,0.3131,0.33240000000000003,0.105,0.5263157894736842,-0.30258270959086153,0.006000606865336433,,,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('career ITM%', 0.09012116565551072), ('post position', 0.0891343576528069)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5263157894736842,9.0
6,6,9,Let Da Blood Talk,0.2844,0.3089,0.094,0.5263157894736842,-0.30258270959086153,0.006000606865336433,,,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('career ITM%', 0.09012116565551072), ('pace type last race    MISSING = ', 0.0854704038872365)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5263157894736842,10.0
6,7,10,Honorary American,0.2431,0.294,0.0787,0.5157894736842106,-0.4615188103267769,0.006000606865336433,,,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('career ITM%', 0.09012116565551072), ('pace type last race    MISSING = ', 0.0854704038872365)], 'neg': [('last race was maiden', -0.12997769490785493), ('post position', -0.11460131507215214), ('no data: won last race', -0.10860123259953845)]}",True,0.5157894736842106,8.0
6,8,3,Ojin,0.2243,0.21389999999999998,0.0677,0.8105263157894737,0.06935717496735383,-0.20351247759808722,,,"{'pos': [('last race was maiden', 0.08665179660523661), ('no data: won last race', 0.07240082173302563), ('no data: finish placement (last race)', 0.07240082173302563)], 'neg': [('jockey win% on surface', -0.16776274668532223), ('last race field size', -0.15881179848340055), ('avg finish placement (last 3)', -0.07977454898646405)]}",False,0.8105263157894737,4.0
6,9,1,Awegod,0.21350000000000002,0.23450000000000001,0.0672,0.9157894736842105,-0.10952348450911908,-0.21148227602955716,,,"{'pos': [('last race field size', 0.15881180141218076), ('post position', 0.11460131488645496), ('shipping in today', 0.10209019541560561)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('speed figure last race', -0.1781219950532193), ('weight (lbs)', -0.1645810765590587)]}",False,0.9157894736842105,5.0
6,10,5,Honorthe Bull,0.2021,0.20929999999999999,0.0668,0.8842105263157894,-0.16559434602529732,-0.07329359465225194,,,"{'pos': [('closeness to winner (last race)', 0.3135688225444931), ('last race was maiden', 0.08665179660523661), ('no data: won last race', 0.07240082173302563)], 'neg': [('jockey win% on surface', -0.20481887426860126), ('finish placement (last race)', -0.17961823954652337), ('career ITM%', -0.1714596701725927)]}",False,0.8842105263157894,7.0
7,1,7,Life Is Daily,0.6804,0.7091999999999999,0.2561,0.9052631578947369,0.008011575614067956,-0.059971938410986025,,,"{'pos': [('jockey win% on surface', 0.24196541025365326), ('career win% on surface', 0.16241768624074404), ('finish placement (last race)', 0.11513989569891889)], 'neg': [('career win%', -0.2447050905225637)]}",False,0.9052631578947369,2.0
