race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
7,1,7,Duncan Idaho,0.735,0.7205,0.2972,0.9473684210526315,0.21980185022205467,4/5,133.0,"{'pos': [('career win% on surface', 0.3941676479994467), ('jockey win% on surface', 0.2720191648730681), ('career ITM%', 0.23694871862751815)], 'neg': [('career win%', -0.5884711075846314), ('won last race', -0.12629830153254012), ('no data: trainer win% off layoff', -0.10039456688082746)]}",False,0.9473684210526315,1.0
7,2,2,Honeyquist,0.6141000000000001,0.6104,0.2152,0.9263157894736842,0.1706339025817034,3/1,124.8,"{'pos': [('career ITM%', 0.2546470309112407), ('trainer win% on surface', 0.12593902530003737), ('jockey win% on surface', 0.11568879469264298)], 'neg': [('purse change vs last', -0.19615305293809396), ('speed figure last race', -0.13159324837169)]}",False,0.9263157894736842,2.0
7,3,6,K.Bee,0.401,0.4266,0.1176,0.9368421052631579,0.04531168154282683,20/1,115.3,"{'pos': [('finish placement (last race)', 0.13816787419407128), ('last race field size', 0.12478070283545895), ('trainer win% at other tracks', 0.08041991272940295)], 'neg': [('career ITM%', -0.16889201571341494), ('won last race', -0.12629830153254012), ('trainer win% on surface', -0.08747402798529787)]}",False,0.9368421052631579,7.0
7,4,1,Pleasenthanku,0.389,0.3722,0.1127,0.9263157894736842,0.22319980113977989,15/1,113.5,"{'pos': [('won last race', 0.09472372614940511), ('post position', 0.07640087581281035), ('purse change vs last', 0.05421164568458678)], 'neg': [('finish placement (last race)', -0.13816787548333406), ('jockey win% on surface', -0.12888339399650633)]}",False,0.9263157894736842,4.0
7,5,3,Tico Grande,0.3691,0.35929999999999995,0.1084,0.9157894736842105,0.1913679213270748,6/1,121.5,"{'pos': [('closeness to winner (last race)', 0.152996287610816), ('won last race', 0.09472372614940511), ('pace progression last race', 0.0557815669619332)], 'neg': [('jockey win% on surface', -0.1474219796405751), ('closer last race', -0.08975346796824038), ('speed figure last race', -0.08644304172562023)]}",False,0.9157894736842105,3.0
7,6,9,Amidships,0.3621,0.3609,0.1125,0.9263157894736842,0.1475280997428866,15/1,116.5,"{'pos': [('finish placement (last race)', 0.13816787419407128), ('career win%', 0.09163473664400718), ('trainer win% (1yr)', 0.07538006554666421)], 'neg': [('won last race', -0.12629830153254012), ('closer last race', -0.08975346796824038), ('starts at this track', -0.07926975701271306)]}",False,0.9263157894736842,5.0
7,7,8,Bold Boomer,0.12969999999999998,0.15009999999999998,0.0364,0.9263157894736842,-0.016813924025629534,30/1,110.4,"{'pos': [('career win%', 0.4405558552125356), ('won last race', 0.09472372614940511)], 'neg': [('career win% on surface', -0.28882660569196905), ('finish placement (last race)', -0.27633574580961695), ('career ITM%', -0.2539253137980234)]}",False,0.9263157894736842,6.0
8,1,3,Mystic Lake,0.7113,0.6867,0.2661,0.9263157894736842,0.40438218883082905,7/2,139.1,"{'pos': [('purse change vs last', 0.5258544574690994), ('career win% on surface', 0.17798859075204287), ('trainer home = GP', 0.15614690452009333)], 'neg': [('trainer starts at other tracks', -0.3551605539037112), ('career win%', -0.24285399734572413), ('last race field size', -0.14557748786169386)]}",False,0.8736842105263158,3.0
8,2,1,Icona Mama,0.6358,0.6416,0.2084,0.6947368421052632,0.27503094820507556,15/1,129.4,"{'pos': [('purse change vs last', 0.9351875724470605), ('career win%', 0.181729578359518), ('pace type last race    MISSING = ', 0.11870889428782848)], 'neg': [('finish placement (last race)', -0.18422382935792042), ('career ITM%', -0.15783593297237333), ('no data: won last race', -0.15083504527713673)]}",True,0.5368421052631579,2.0
8,3,7,Overcome Adversity,0.6331,0.6776,0.2161,0.9263157894736842,0.10239482287574686,6/1,135.4,"{'pos': [('purse change vs last', 0.36762486518994375), ('finish placement (last race)', 0.23027979064576784), ('jockey home = GP', 0.1120135819148733)], 'neg': [('won last race', -0.1841850230682877), ('speed figure last race', -0.08451646721917543), ('closer last race', -0.08376990343702437)]}",False,0.9263157894736842,6.0
