race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov
2,5,2,EZ Shopping,0.4437,0.5085,0.1397,0.7684210526315789,-0.3686897462925965,,,"{'pos': [('class rating change vs last', 0.12076980971131339), ('speed figure last race', 0.08218517989195157), ('purse change vs last', 0.05589929788233375)], 'neg': [('last race field size', -0.13234316601299634), ('blinkers change', -0.12202875758268596), ('finish placement (last race)', -0.09211191956741496)]}",False,0.7684210526315789
2,6,5,Turnand Run,0.43910000000000005,0.4674999999999999,0.1423,0.8315789473684211,-0.23302981149428292,,,"{'pos': [('last race field size', 0.105874532078202)], 'neg': [('blinkers change', -0.12202875758268596), ('finish placement (last race)', -0.09211191956741496)]}",False,0.8315789473684211
3,1,7,Hottakejake,0.5638000000000001,0.527,0.2213,0.8736842105263158,0.23014607210821414,,,"{'pos': [('finish placement (last race)', 0.3837996508255897), ('career ITM%', 0.15639727811640758), ('trainer win% on surface', 0.09445455476201277)], 'neg': [('career win%', -0.0775118495116452), ('no data: career win% on surface', -0.0689743724060955), ('jockey win% (90d)', -0.06238678462525349)]}",False,0.8736842105263158
3,2,3,Love Hate,0.3722,0.37750000000000006,0.1224,0.8526315789473684,0.0316641859381972,,,"{'pos': [('finish placement (last race)', 0.24563177598688707), ('trainer home = GP', 0.07807345226004667), ('pace progression last race', 0.06772395835385733)], 'neg': [('jockey home = GP', -0.1493514425531644), ('closer last race', -0.08376990343702437), ('last race field size', -0.07940590180438296)]}",False,0.8526315789473684
3,3,1,Java Buzz,0.3581,0.3981,0.1182,0.8526315789473684,-0.11283100526840917,,,"{'pos': [('closeness to winner (last race)', 0.17849566575106257), ('career win%', 0.17748386855078613), ('post position', 0.10186783543399361)], 'neg': [('speed figure last race', -0.1704690755813575), ('trainer home = GP', -0.15614690452009333), ('last race field size', -0.07940590180438296)]}",False,0.8526315789473684
3,4,8,Capturethe Time,0.35350000000000004,0.3434,0.1163,0.8736842105263158,0.10704989414746269,,,"{'pos': [('finish placement (last race)', 0.10746390566060415), ('trainer home = GP', 0.07807345226004667), ('jockey home = GP', 0.07467572127658217)], 'neg': [('blinkers change', -0.18982251179528925), ('last race field size', -0.07940590180438296), ('post position', -0.07640088005731738)]}",False,0.8736842105263158
3,5,5,Zozan,0.3408,0.3461,0.1104,0.8631578947368421,0.03598509771614,,,"{'pos': [('career ITM%', 0.1943460257907097), ('last race field size', 0.1588118036087659), ('career win% on surface', 0.11125686828267553)], 'neg': [('finish placement (last race)', -0.583375473045329), ('closer last race', -0.08376990343702437), ('no data: closeness to winner (last race)', -0.07723532748643142)]}",False,0.8631578947368421
3,6,2,Seaver,0.28090000000000004,0.2683,0.0874,0.8105263157894737,0.12579978983086137,,,"{'pos': [('finish placement (last race)', 0.10746390566060415), ('last race field size', 0.07940590180438295), ('post position', 0.07640087820034555)], 'neg': [('trainer home = GP', -0.15614690452009333), ('jockey home = GP', -0.1493514425531644), ('closer last race', -0.08376990343702437)]}",False,0.8105263157894737
3,7,9,Manhattan Boy,0.2552,0.2767,0.0821,0.8526315789473684,-0.06877626488194788,,,"{'pos': [('last race field size', 0.07940590180438295), ('jockey home = GP', 0.07467572127658217), ('blinkers change', 0.054235003370082635)], 'neg': [('finish placement (last race)', -0.168871848529221), ('trainer home = GP', -0.15614690452009333), ('post position', -0.10186783729096544)]}",False,0.8526315789473684
3,8,6,Ironthe Money,0.24419999999999997,0.2264,0.0731,0.8526315789473684,0.15025912052444101,,,"{'pos': [('trainer home = GP', 0.07807345226004667), ('jockey home = GP', 0.07467572127658217), ('blinkers change', 0.054235003370082635)], 'neg': [('finish placement (last race)', -0.168871848529221), ('jockey win% on surface', -0.15535749184961958), ('career win%', -0.1132662580320883)]}",False,0.8526315789473684
3,9,4,Araucano,0.2313,0.2365,0.0688,0.8631578947368421,0.028861761465051705,,,"{'pos': [('finish placement (last race)', 0.10746390566060415), ('trainer home = GP', 0.07807345226004667)], 'neg': [('blinkers change', -0.18982251179528925), ('career ITM%', -0.18263157555962323), ('jockey home = GP', -0.1493514425531644)]}",False,0.8631578947368421
4,1,2,Champagne Brunch,0.7821,0.7169,0.3302,0.8842105263157894,0.13720309766842947,,,"{'pos': [('blinkers change', 0.2033812626378099), ('last race field size', 0.1720461291184387), ('career ITM%', 0.16530807081816826)], 'neg': [('finish placement (last race)', -0.3223917102131828), ('no data: trainer win% off layoff', -0.07808466312953247), ('pace type last race    MISSING = ', -0.07122533657269708)]}",False,0.8842105263157894
4,2,4,Kamari,0.6459,0.6459,0.2284,0.8421052631578947,-0.20026486677851518,,,"{'pos': [('last race field size', 0.25145200895697006), ('finish placement (last race)', 0.2302797891416279), ('jockey home = GP', 0.1493514425531644)], 'neg': [('trainer home = GP', -0.11711017839007), ('avg finish placement (last 3)', -0.08479971775443257), ('no data: trainer win% off layoff', -0.07808466312953247)]}",False,0.8421052631578947
