fold,half_life_days,l2,alpha,beta,gamma,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,itm_hit_rate_top3,itm_hit_rate_top4,itm_precision_top3,itm_precision_top4,itm_recall_top3,itm_recall_top4,itm_full_sweep_top_3
fold4_val2026Q2,730.5,0.001,0.14988849076880637,0.707858515668235,-0.01821428948504291,20210.349864386248,1.712523100002727,1.800210185391221,2.092703971832503,0.2850277264325324,0.24438687392055267,0.6355785837651122,0.73,3.228824141519251,961,3.30239898989899,792,3.6414710485133024,639,3.456976744186046,516,0.9948320413436692,1.0,0.6339362618432386,0.5915159345391904,0.6363049095607235,0.789405684754522,0.18087855297157623
fold1_val2024,730.5,0.01,0.105235673625084,0.8017902024410868,-0.035684510266634564,12760.136814866366,1.5549611000024015,1.8626304852182385,2.1272702835293122,0.2580182885219052,0.24718111346018323,0.616983791402396,0.7407407407407407,3.067429760665973,4805,3.047383230163197,3554,3.304290822407628,2517,3.644650328750748,1673,0.9736147757255936,0.995778364116095,0.6160070360598064,0.5624890061565523,0.6171943711521548,0.7506156552330694,0.16569920844327177
fold2_val2025,730.5,0.01,0.039109616412091625,0.8074893772166366,-0.05666086018402347,16469.429611895095,2.1930702999961795,1.859918234658181,2.1283159412497206,0.26259946949602125,0.24443677764360877,0.6108331895808177,0.7276853252647504,3.269692593356716,4847,3.369481043291207,3719,3.5155684286748734,2762,3.561726546906187,2004,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5665030991735537,0.6108815426997246,0.7565857438016529,0.15289256198347106
fold3_val2026Q1,730.5,0.01,-0.01181909552970485,0.782329616331274,-0.08832140848296549,19221.046355321727,2.091366200002085,1.90503263866811,2.1785822936170565,0.25694282380396727,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3091756272401427,1395,3.536764705882353,1088,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5455373406193078,0.5939587128111719,0.726775956284153,0.12750455373406194
fold4_val2026Q2,730.5,0.01,0.1499188368563252,0.7078560179299195,-0.018213363530288438,20210.347554247175,1.2333399999988615,1.8002098622623426,2.0927033689988415,0.2850277264325324,0.24438687392055267,0.6355785837651122,0.73,3.228824141519251,961,3.30239898989899,792,3.63421875,640,3.456976744186046,516,0.9948320413436692,1.0,0.6339362618432386,0.5915159345391904,0.6363049095607235,0.789405684754522,0.18087855297157623
fold1_val2024,730.5,0.1,0.10610102948172388,0.8014217253596755,-0.03587392634103431,12759.693144210043,1.2894986999963294,1.8626256509823895,2.1272675188880377,0.2580182885219053,0.24718111346018323,0.616631430584919,0.7407407407407407,3.0708602374505314,4801,3.055468091087995,3557,3.2998406374501985,2510,3.6227136879856543,1673,0.9730870712401055,0.995778364116095,0.615655233069481,0.5626209322779243,0.6168425681618293,0.7507915567282322,0.16517150395778363
fold2_val2025,730.5,0.1,0.039037277187334705,0.8075217017493356,-0.05667618054648915,16469.476111106625,2.3984640999988187,1.85991836196801,2.1283154933367237,0.26259946949602125,0.24443677764360877,0.6108331895808177,0.7276853252647504,3.268811881188119,4848,3.3706562668101125,3718,3.5155684286748734,2762,3.561726546906187,2004,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5665030991735537,0.6108815426997246,0.7565857438016529,0.15289256198347106
fold3_val2026Q1,730.5,0.1,-0.01181889276496034,0.782329477813396,-0.08832144555544812,19221.090195783287,2.856798399996478,1.9050326412996004,2.17858228775991,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3091756272401427,1395,3.536764705882353,1088,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5455373406193078,0.5939587128111719,0.726775956284153,0.12750455373406194
fold4_val2026Q2,730.5,0.1,0.15344037208220512,0.7067421338882008,-0.017743379147447478,20209.04810797677,1.5435833999945316,1.8002042393559001,2.092699395055352,0.2850277264325324,0.24438687392055267,0.6364421416234888,0.73,3.231496881496881,962,3.30239898989899,792,3.6129890453834115,639,3.4483558994197296,517,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,730.5,1.0,0.10580996240771537,0.8015576248188682,-0.03606919753683142,12760.511834314811,1.83104209999874,1.8626268796937453,2.127268448620226,0.2580182885219053,0.24718111346018323,0.616983791402396,0.7407407407407407,3.0716427232979386,4803,3.0566085489313832,3556,3.3094272076372304,2514,3.633571854502087,1677,0.9730870712401055,0.995778364116095,0.6160070360598064,0.5626209322779243,0.6171943711521548,0.7507915567282322,0.16569920844327177
